Angry Birds,Droid Invaders,Pie3dDemo
1820.84598453502,1900.35978453502,2121.29498453502
1820.84598453502,1935.12988453502,2071.08298453502
1937.92898453502,1935.12988453502,2121.29498453502
1820.84598453502,1833.44598453502,1833.44598453502
1990.02478453502,1833.44598453502,1924.90338453502
1977.75298453502,1935.12988453502,1908.54098453502
1895.94098453502,1833.44598453502,1833.44598453502
1700.74598453502,1935.12988453502,1908.54098453502
1802.42988453502,1908.54098453502,1900.35978453502
1700.74598453502,1833.44598453502,1833.44598453502
1775.84098453502,2037.39488453502,1820.84598453502
1802.42988453502,1969.89998453502,1895.94098453502
1700.74598453502,1833.44598453502,1887.75978453502
1767.65978453502,1908.54098453502,1922.52988453502
1802.42988453502,1900.35978453502,1820.84598453502
1775.84098453502,1833.44598453502,1887.75978453502
1700.74598453502,1908.54098453502,1895.94098453502
1767.65978453502,1908.54098453502,1820.84598453502
1775.84098453502,1833.44598453502,1940.93758453502
1700.74598453502,1908.54098453502,1820.84598453502
1802.42988453502,1900.35978453502,1820.84598453502
1775.84098453502,1908.54098453502,1922.52988453502
1700.74598453502,1833.44598453502,1820.84598453502
1802.42988453502,1908.54098453502,1895.94098453502
1775.84098453502,1908.54098453502,1895.94098453502
1700.74598453502,1833.44598453502,1887.75978453502
1833.44598453502,1908.54098453502,1820.84598453502
1935.12988453502,1833.44598453502,1940.93758453502
1833.44598453502,1908.54098453502,1820.84598453502
1908.54098453502,1900.35978453502,1908.54098453502
1908.54098453502,1908.54098453502,1935.12988453502
1833.44598453502,1833.44598453502,1833.44598453502
1908.54098453502,1900.35978453502,1908.54098453502
1900.35978453502,1908.54098453502,1908.54098453502
1908.54098453502,1908.54098453502,1833.44598453502
1833.44598453502,1908.54098453502,1908.54098453502
1900.35978453502,1833.44598453502,1900.35978453502
1935.12988453502,1900.35978453502,1908.54098453502
1833.44598453502,1908.54098453502,1833.44598453502
1908.54098453502,1833.44598453502,1924.90338453502
1833.44598453502,1935.12988453502,1833.44598453502
1908.54098453502,1833.44598453502,1908.54098453502
1984.21708453502,1908.54098453502,1900.35978453502
3125.53498453502,1990.35298453502,1833.44598453502
3311.06231088632,2037.39488453502,1935.12988453502
2773.22431088632,3125.53498453502,1918.76748453502
2006.37331088632,3125.53498453502,3125.53498453502
2149.11231088632,2907.21678430338,3082.95878430338
2108.05721088632,2041.92978430338,3359.96078430338
2108.05721088632,2305.79698430338,2480.36778430338
2059.56498453502,2041.92978430338,2029.32978430338
1922.52988453502,1990.35298453502,2104.42478430338
1922.52988453502,1969.89998453502,2029.32978430338
1922.52988453502,1833.44598453502,1957.29998453502
1820.84598453502,1833.44598453502,3112.93498453502
1820.84598453502,1935.12988453502,2171.45998453502
1922.52988453502,1833.44598453502,2058.48298453502
1820.84598453502,1883.34098453502,1820.84598453502
1895.94098453502,1883.34098453502,1895.94098453502
1820.84598453502,1808.24598453502,1922.52988453502
1887.75978453502,1883.34098453502,1895.94098453502
1895.94098453502,1808.24598453502,1887.75978453502
1820.84598453502,1928.33758453502,1922.52988453502
1936.84698453502,1808.24598453502,1820.84598453502
3112.93498453502,1808.24598453502,1912.30338453502
2108.69498453502,2012.19488453502,1820.84598453502
1820.84598453502,3100.33498453502,1895.94098453502
1820.84598453502,2096.09498453502,2008.43248453502
2058.48298453502,1808.24598453502,3112.93498453502
1820.84598453502,1808.24598453502,2058.48298453502
1895.94098453502,1808.24598453502,1820.84598453502
1912.30338453502,1909.92988453502,1820.84598453502
1922.52988453502,1875.15978453502,1820.84598453502
1820.84598453502,1808.24598453502,1936.84698453502
1820.84598453502,1883.34098453502,1887.75978453502
1936.84698453502,1808.24598453502,1820.84598453502
1820.84598453502,1876.92988453502,1895.94098453502
1895.94098453502,1775.24598453502,1887.75978453502
1895.94098453502,1775.24598453502,1922.52988453502
1820.84598453502,1876.92988453502,1820.84598453502
1895.94098453502,1775.24598453502,1887.75978453502
1940.93758453502,1876.92988453502,1895.94098453502
1820.84598453502,1775.24598453502,1820.84598453502
1846.04598453502,1850.34098453502,1922.52988453502
1947.72988453502,1775.24598453502,1820.84598453502
1846.04598453502,1876.92988453502,1887.75978453502
1921.14098453502,1775.24598453502,1908.54098453502
1921.14098453502,1850.34098453502,1908.54098453502
1846.04598453502,1876.92988453502,1833.44598453502
1921.14098453502,1775.24598453502,1908.54098453502
1921.14098453502,1850.34098453502,1935.12988453502
1921.14098453502,1842.15978453502,1833.44598453502
1846.04598453502,1775.24598453502,1935.12988453502
1912.95978453502,1850.34098453502,1908.54098453502
1962.04698453502,1876.92988453502,1833.44598453502
1846.04598453502,1908.54098453502,1908.54098453502
2610.90898453502,2698.73298453502,1900.35978453502
2133.89498453502,1833.44598453502,1908.54098453502
1846.04598453502,2121.29498453502,1833.44598453502
1921.14098453502,1908.54098453502,1924.90338453502
1875.15978453502,1900.35978453502,1833.44598453502
